Date,Open,High,Low,Close,DS,ADX 14 14,ADXR 10,Wilder's RSI 14,Stochastics 12 %K 3,%D 5
9/21/12 12:00:00 AM -07:00,44,47.3,43.06,45.98,-75.10040161,,,,,
9/28/12 12:00:00 AM -07:00,46.5,46.5,44.01,44.63,34.72222222,3.571429,,,,
10/5/12 12:00:00 AM -07:00,45.57,47.76,42,47.57,-32.03125,10.45918,,,,
10/12/12 12:00:00 AM -07:00,47.92,48,45.44,47.1,-70.65217391,15.22727,,,,
10/19/12 12:00:00 AM -07:00,47.33,47.74,45.9,46.03,-51.72413793,19.65479,,,,
10/26/12 12:00:00 AM -07:00,46.2,46.85,45.11,45.3,-63.47305389,24.25943,,,,
11/2/12 12:00:00 AM -07:00,45.62,46.2,44.53,44.56,-37.32718894,28.75446,,,,
11/9/12 12:00:00 AM -08:00,44.47,45.57,43.4,43.66,33.33333333,33.19246,,,,
11/16/12 12:00:00 AM -08:00,43.62,44.96,43.25,44.19,79.41176471,37.33926,,,,
11/23/12 12:00:00 AM -08:00,44.47,45.3,44.28,45.28,10.38961039,39.98524,,,,
11/30/12 12:00:00 AM -08:00,45,46.37,44.06,45.24,-27.57009346,39.57618,,,,
12/7/12 12:00:00 AM -08:00,45.26,46.6,44.46,44.67,88.98305085,38.71138,21,,,
12/14/12 12:00:00 AM -08:00,44.52,46.63,44.27,46.62,-95.68965517,38.13139,24,,,
12/21/12 12:00:00 AM -08:00,46.64,46.65,45.49,45.53,-67.41573034,37.54752,26,,60.11109,
12/28/12 12:00:00 AM -08:00,45.61,45.86,44.08,44.41,50.85470085,38.35318,29,,53.41811,
1/4/13 12:00:00 AM -08:00,44.18,46.5,44.16,45.37,76.97368421,37.8643,31,48.03858,43.49012,
1/11/13 12:00:00 AM -08:00,45.2,46.67,45.15,46.37,51.61290323,37.10773,33,51.40412,52.76791,
1/18/13 12:00:00 AM -08:00,46.57,47.11,46.18,47.05,-16,35.65617,34,53.60471,77.44274,57.446
1/25/13 12:00:00 AM -08:00,47.34,47.53,46.28,47.14,-62.93706294,33.65693,35,53.90225,92.00003,63.82378
2/1/13 12:00:00 AM -08:00,47.5,47.59,46.16,46.6,9.375,31.95522,36,51.75751,88.84077,70.90832
2/8/13 12:00:00 AM -08:00,46.78,47.45,46.17,46.9,21.10091743,30.37507,35,52.87926,82.84335,78.77896
2/15/13 12:00:00 AM -08:00,46.94,47.65,46.56,47.17,-5.217391304,28.56742,34,53.91778,81.42387,84.51015
2/22/13 12:00:00 AM -08:00,47.52,47.8,46.65,47.46,41.28440367,26.63483,32,55.06338,85.98098,86.2178
3/1/13 12:00:00 AM -08:00,47.67,48.91,46.73,48.57,81.25,26.16499,32,59.24014,90.1501,85.84782
3/8/13 12:00:00 AM -08:00,48.41,50,48.4,49.71,32.0754717,26.77635,33,63.03975,92.97407,86.67448
3/15/13 12:00:00 AM -07:00,49.93,50.85,49.79,50.27,51.2295082,27.96653,33,64.77677,93.16493,88.73879
3/22/13 12:00:00 AM -07:00,49.94,52.29,49.85,51.19,1.754385965,29.86301,33,67.48069,91.00133,90.65428
3/28/13 12:00:00 AM -07:00,51.51,51.95,50.81,51.53,-10.2189781,31.62403,34,68.44477,89.08612,91.27531
4/5/13 12:00:00 AM -07:00,51.38,52.51,51.14,51.24,38.82352941,33.52296,34,66.63033,85.2752,90.30033
4/12/13 12:00:00 AM -07:00,51.41,52.21,50.51,52.07,-66.50717703,34.27444,33,69.15098,87.47555,89.20062
4/19/13 12:00:00 AM -07:00,51.74,51.88,49.79,50.35,23.95209581,33.95101,32,59.1754,79.68506,86.50465
4/26/13 12:00:00 AM -07:00,50.52,51.7,50.03,50.92,45.32019704,33.65067,31,61.1743,77.99209,83.9028
5/3/13 12:00:00 AM -07:00,51.27,54.1,50.04,53.11,76.62337662,34.76337,31,67.71498,75.92514,81.27061
5/10/13 12:00:00 AM -07:00,52.86,55.69,52.61,55.22,38.53211009,36.39559,31,72.51857,85.5307,81.32171
5/17/13 12:00:00 AM -07:00,55.27,56.13,53.95,56.11,47.05882353,38.05326,32,74.25835,93.8194,82.59048
5/24/13 12:00:00 AM -07:00,56.13,57.26,55.39,57.01,-74.01315789,39.92392,34,75.91859,97.25549,86.10456
5/31/13 12:00:00 AM -07:00,57.38,57.84,54.8,55.13,-38.33992095,40.94931,35,66.29926,87.76699,88.05955
6/7/13 12:00:00 AM -07:00,55.34,55.47,52.94,54.37,39.47368421,40.01949,36,62.83326,73.46938,87.56839
6/14/13 12:00:00 AM -07:00,54.48,56.48,53.44,55.68,-59.89847716,39.6235,37,66.12096,65.46584,83.55542
6/21/13 12:00:00 AM -07:00,55.82,56.74,52.8,53.46,82.20064725,38.69535,36,56.93029,58.55071,76.50168
6/28/13 12:00:00 AM -07:00,53.33,56,52.91,55.87,-36.42857143,37.83349,36,62.95082,64.76189,70.00296
7/5/13 12:00:00 AM -07:00,55.75,56.25,54.85,55.24,41.56862745,37.16816,35,60.56736,62.93995,65.03755
7/12/13 12:00:00 AM -07:00,55.63,57.19,54.64,56.69,64.33121019,37.03249,36,63.9505,76.16836,65.57735
7/19/13 12:00:00 AM -07:00,56.65,58.05,56.48,57.66,-64.61038961,37.30008,37,66.04898,82.70275,69.02473
7/26/13 12:00:00 AM -07:00,58.44,58.76,55.68,56.45,43.10344828,36.75847,37,61.25859,80.94847,73.50429
8/2/13 12:00:00 AM -07:00,56.75,57.75,56.01,57.5,-23.4375,36.25554,38,63.71775,78.80975,76.31386
8/9/13 12:00:00 AM -07:00,56.71,57.05,55.13,56.26,-82.51231527,34.94439,38,58.95811,66.45061,77.01598
8/16/13 12:00:00 AM -07:00,56.12,56.59,52.53,52.77,23.52941176,33.06241,37,48.07362,46.92171,71.16666
8/23/13 12:00:00 AM -07:00,52.42,53.61,51.91,52.82,-66.13756614,31.67109,36,48.22111,25.06357,59.63882
8/30/13 12:00:00 AM -07:00,53.02,53.09,51.2,51.77,40,30.76831,35,45.31064,8.22557,45.09424
9/6/13 12:00:00 AM -07:00,52.49,53.81,52.01,53.21,40.55555556,29.38232,34,49.78676,15.80388,32.49307
9/13/13 12:00:00 AM -07:00,53.51,54.44,52.64,54.24,-35.13513514,27.64009,32,52.76477,24.77954,24.15886
9/20/13 12:00:00 AM -07:00,54.68,55.65,53.8,54.03,-60.09852217,26.10303,32,52.08649,34.74427,21.72337
9/27/13 12:00:00 AM -07:00,54.1,54.28,52.25,52.88,45.65217391,24.76706,31,48.41615,33.28925,23.3685
10/4/13 12:00:00 AM -07:00,52.59,53.46,52.08,53.22,-14.28571429,23.62458,30,49.5481,28.79189,27.48177
10/11/13 12:00:00 AM -07:00,52.71,54.36,51.77,52.34,65.63876652,21.95816,29,46.69218,21.34039,28.58907
10/18/13 12:00:00 AM -07:00,52.2,53.99,51.72,53.69,71.83908046,20.44383,28,51.32708,26.60473,28.95411
10/25/13 12:00:00 AM -07:00,53.71,54.98,53.24,54.96,-5.263157895,19.57757,26,55.26738,39.1227,29.82979
11/1/13 12:00:00 AM -07:00,54.78,55.93,53.08,54.63,-72.55639098,19.33076,26,54.04312,55.30837,34.23362
11/8/13 12:00:00 AM -08:00,54.66,55.03,52.37,52.73,32.59259259,18.56964,25,47.51665,53.41885,39.15901
11/15/13 12:00:00 AM -08:00,52.61,53.18,51.83,53.05,-31.89189189,17.4755,23,48.64159,45.0317,43.89727
11/22/13 12:00:00 AM -08:00,53.31,53.94,52.09,52.72,11.9266055,16.94547,22,47.51063,31.73723,44.92377
11/29/13 12:00:00 AM -08:00,52.99,53.69,52.6,53.12,14.72868217,16.4533,21,49.05679,32.0397,43.50717
12/6/13 12:00:00 AM -08:00,53.36,53.6,52.31,53.55,-68.97959184,15.75904,20,50.73677,33.49166,39.14383
12/13/13 12:00:00 AM -08:00,54.3,54.92,52.47,52.61,74.28571429,15.97293,20,47.08157,32.62071,34.9842
12/20/13 12:00:00 AM -08:00,52.7,54.05,52.3,54,6.382978723,16.02259,19,52.52784,39.58826,33.89552
12/27/13 12:00:00 AM -08:00,53.65,54,53.06,53.71,-26.5060241,16.0687,18,51.34064,40.85508,35.71909
1/3/14 12:00:00 AM -08:00,53.67,54.21,53.38,53.45,6.586826347,16.25758,18,50.24423,47.50592,38.81233
1/10/14 12:00:00 AM -08:00,53.69,54.48,52.81,53.8,58.42105263,15.86542,18,51.73838,45.46991,41.20798
1/17/14 12:00:00 AM -08:00,53.65,55.11,53.21,54.76,-84.98023715,15.97159,17,55.67057,53.53491,45.39082
1/24/14 12:00:00 AM -08:00,55.04,55.2,52.67,52.89,-59.01639344,15.53563,17,47.54439,50.32201,47.53757
1/31/14 12:00:00 AM -08:00,53.07,53.21,51.99,52.35,11.39240506,14.50615,16,45.47987,39.44916,47.25638
2/7/14 12:00:00 AM -08:00,52.03,52.91,50.54,52.3,48.78892734,14.50604,15,45.2838,28.21744,43.39869
2/14/14 12:00:00 AM -08:00,52.35,55,52.11,53.76,53.68421053,14.01625,15,51.81617,40.76568,42.45784
2/21/14 12:00:00 AM -08:00,54.07,55.6,53.7,55.09,-2.459016393,13.93375,15,56.8679,65.59595,44.87005
2/28/14 12:00:00 AM -08:00,55.3,55.75,54.53,55.27,54.54545455,13.9503,15,57.51707,83.26886,51.45942
3/7/14 12:00:00 AM -08:00,54.81,56.02,54.48,55.65,-20,14.13854,15,58.92266,91.31871,61.83333
3/14/14 12:00:00 AM -07:00,55.69,56.1,55,55.47,-42.97520661,14.36647,15,57.94468,90.90142,74.37012
3/21/14 12:00:00 AM -07:00,55.89,56.56,55.35,55.37,0.793650794,14.8871,15,57.37492,87.38327,83.69364
3/28/14 12:00:00 AM -07:00,55.69,56.3,55.04,55.7,46.79802956,15.05263,16,58.81411,84.87197,87.54884
