Date,Open,High,Low,Close,DS,RSI 50,ADX 14 14,Stochastics 12 %K 3,,,%D 5,UpDown,,,Commodity Channel Index (CCI) 14,MACD 12 26
5/17/15 8:00:00 PM -07:00,1.14404,1.14453,1.14384,1.14442,-47.84482759,,,,,,,,,,,
5/17/15 9:00:00 PM -07:00,1.14442,1.14444,1.14212,1.14331,-61.49425287,,7.142857,,,,,-0.00111,,,,
5/17/15 10:00:00 PM -07:00,1.14332,1.14367,1.14193,1.14225,83.20610687,,13.77551,,,,,-0.00106,,,,
5/17/15 11:00:00 PM -07:00,1.14225,1.14346,1.14215,1.14334,-23.95833333,,19.9344,,,,,0.00109,,,,
5/17/15 11:59:00 PM -07:00,1.14334,1.14366,1.1427,1.14311,-100,,24.01284,,,,,-0.00023,,,,
5/18/15 12:00:00 AM -07:00,1.14312,1.14312,1.1431,1.1431,28.20512821,,27.79996,,,,,-1.00E-05,,,,
5/18/15 1:00:00 AM -07:00,1.14309,1.14391,1.14274,1.14342,16.74418605,,26.95624,,,,,0.00032,,,,
5/18/15 2:00:00 AM -07:00,1.14341,1.14391,1.14176,1.14377,-67.32026144,,28.06535,,,,,0.00035,,,,
5/18/15 3:00:00 AM -07:00,1.14376,1.1447,1.14164,1.1417,-57.89473684,,26.9077,,,,,-0.00207,,,,
5/18/15 4:00:00 AM -07:00,1.1417,1.14256,1.138,1.13906,-15.26717557,,29.08199,,,,,-0.00264,,,,
5/18/15 5:00:00 AM -07:00,1.13906,1.13927,1.13665,1.13866,51.92878338,,31.62166,,,,,-0.0004,,,,
5/18/15 6:00:00 AM -07:00,1.13868,1.14061,1.13724,1.14043,39.58333333,,32.16338,,,,,0.00177,,,,
5/18/15 7:00:00 AM -07:00,1.14042,1.14244,1.13908,1.14175,-45.52238806,,30.82568,,,,,0.00132,,,,
5/18/15 8:00:00 AM -07:00,1.14176,1.14189,1.13921,1.14054,-59.39849624,,29.58353,52.87753,,,,-0.00121,,,-62.11929,
5/18/15 9:00:00 AM -07:00,1.14054,1.1407,1.13804,1.13896,-82.03883495,,29.17643,46.79076,,,,-0.00158,,,-98.05884,
5/18/15 10:00:00 AM -07:00,1.13895,1.13989,1.13371,1.13388,96.96969697,,30.56429,26.18852,,,,-0.00508,,,-182.8334,
5/18/15 11:00:00 AM -07:00,1.13388,1.13646,1.13382,1.13644,-47.19626168,,31.85302,18.36114,,,,0.00256,,,-151.6468,
5/18/15 12:00:00 PM -07:00,1.13645,1.13698,1.13484,1.13544,-12.82051282,,32.59019,14.04295,,,31.65218,-0.001,,,-121.3039,
5/18/15 1:00:00 PM -07:00,1.13543,1.1359,1.13317,1.13508,-77.57437071,,33.81249,19.04908,,,24.88649,-0.00036,,,-126.3709,
5/18/15 2:00:00 PM -07:00,1.13507,1.13544,1.13107,1.13168,-69.47368421,,35.48598,12.26059,,,17.98046,-0.0034,,,-143.0597,
5/18/15 3:00:00 PM -07:00,1.13167,1.13184,1.12994,1.13035,29.50819672,,37.28402,8.096349,,,14.36202,-0.00133,,,-153.5102,
5/18/15 4:00:00 PM -07:00,1.13034,1.1317,1.12987,1.13088,63.33333333,,38.96852,5.252823,,,11.74036,0.00053,,,-127.2525,
5/18/15 5:00:00 PM -07:00,1.13089,1.1317,1.1308,1.13146,-4.761904762,,40.5327,7.977175,,,10.5272,0.00058,,,-103.9637,
5/18/15 6:00:00 PM -07:00,1.13146,1.13166,1.13103,1.13143,16.66666667,,41.98515,11.03113,,,8.923614,-3.00E-05,,,-90.19367,
5/18/15 7:00:00 PM -07:00,1.13145,1.13169,1.13127,1.13152,80.53097345,,43.30129,12.92858,,,9.057211,9.00E-05,,,-74.81558,
5/18/15 8:00:00 PM -07:00,1.13153,1.13265,1.13152,1.13244,-75.17241379,,43.50507,16.62235,,,10.76241,0.00092,,,-51.53731,-0.00434443
5/18/15 9:00:00 PM -07:00,1.13243,1.13259,1.13114,1.13134,-71.21771218,,43.83471,17.37573,,,13.18699,-0.0011,,,-54.60358,-0.004208621
5/18/15 10:00:00 PM -07:00,1.13135,1.13145,1.12874,1.12942,18.18181818,,44.87788,15.55122,,,14.7018,-0.00192,,,-96.21138,-0.004207417
5/18/15 11:00:00 PM -07:00,1.12941,1.12985,1.12853,1.12965,70.68965517,,45.90114,12.05932,,,14.90744,0.00023,,,-112.1597,-0.004140183
5/18/15 11:59:00 PM -07:00,1.12966,1.13058,1.12942,1.13048,70,,46.11864,15.98881,,,15.51949,0.00083,,,-76.86357,-0.003974109
5/19/15 12:00:00 AM -07:00,1.13048,1.13068,1.13048,1.13062,-28.75,,46.22041,23.31962,,,16.85894,0.00014,,,-53.82347,-0.003787542
5/19/15 1:00:00 AM -07:00,1.13062,1.13067,1.12987,1.13039,65.28497409,,46.53318,33.95036,,,20.17387,-0.00023,,,-63.10163,-0.003616551
5/19/15 2:00:00 AM -07:00,1.13038,1.13209,1.13016,1.13164,-31.36246787,,45.4528,50.29201,,,27.12202,0.00125,,,27.45066,-0.003341662
5/19/15 3:00:00 AM -07:00,1.13164,1.13164,1.12775,1.13042,-84.13028413,,45.37513,58.37293,,,36.38475,-0.00122,,,-86.32262,-0.003185533
5/19/15 4:00:00 AM -07:00,1.1304,1.13045,1.11602,1.11826,45.17241379,,47.28019,47.81417,,,42.74982,-0.01216,,,-406.2142,-0.003996931
5/19/15 5:00:00 AM -07:00,1.11826,1.11958,1.11668,1.11957,29.390681,,49.04916,29.76859,,,44.03961,0.00131,,,-271.0454,-0.004482592
5/19/15 6:00:00 AM -07:00,1.11956,1.12098,1.11819,1.12038,45.63492063,,49.89998,20.34508,,,41.31856,0.00081,,,-158.5468,-0.004747394
5/19/15 7:00:00 AM -07:00,1.12038,1.12168,1.11916,1.12153,-66.48648649,,50.30453,26.93951,,,36.64806,0.00115,,,-107.5767,-0.00480902
5/19/15 8:00:00 AM -07:00,1.12154,1.12158,1.11788,1.11908,-83,,50.87678,26.17096,,,30.20766,-0.00245,,,-100.9797,-0.004997949
5/19/15 9:00:00 AM -07:00,1.11909,1.11923,1.11223,1.11328,59.4972067,,52.08542,19.19413,,,24.48366,-0.0058,,,-130.0216,-0.005551683
5/19/15 10:00:00 AM -07:00,1.11328,1.1167,1.11312,1.11541,-67.56032172,,53.20773,13.44712,,,21.21936,0.00213,,,-107.3887,-0.005752346
5/19/15 11:00:00 AM -07:00,1.1154,1.11622,1.11249,1.11288,58.91891892,,54.31559,8.190975,,,18.78854,-0.00253,,,-104.5681,-0.006045828
5/19/15 12:00:00 PM -07:00,1.11286,1.11555,1.11185,1.11504,-12.36363636,,55.41205,11.68196,,,15.73703,0.00216,,,-90.74502,-0.006034562
5/19/15 1:00:00 PM -07:00,1.11503,1.11591,1.11316,1.11469,-25.17985612,,56.21165,11.02165,,,12.70717,-0.00035,,,-78.99936,-0.005984885
5/19/15 2:00:00 PM -07:00,1.11468,1.11469,1.1133,1.11433,70,,56.95415,14.10786,,,11.68991,-0.00036,,,-78.52735,-0.005906471
5/19/15 3:00:00 PM -07:00,1.11433,1.11582,1.11432,1.11538,-48.03149606,,56.91048,15.18056,,,12.0366,0.00105,,,-56.56678,-0.005693964
5/19/15 4:00:00 PM -07:00,1.11538,1.11595,1.11468,1.11477,46.93877551,,56.7854,20.40524,,,14.47945,-0.00061,,,-48.57109,-0.005511242
5/19/15 5:00:00 PM -07:00,1.11477,1.11508,1.11459,1.115,-47.12643678,,56.68723,26.90953,,,17.52497,0.00023,,,-45.53571,-0.005286934
5/19/15 6:00:00 PM -07:00,1.115,1.11537,1.1145,1.11459,13.97849462,,56.38388,29.87469,,,21.29558,-0.00041,,,-41.81773,-0.005083647
5/19/15 7:00:00 PM -07:00,1.11458,1.11508,1.11415,1.11471,-62.16216216,,56.18454,29.77064,,,24.42813,0.00012,,,-43.23923,-0.004856877
5/19/15 8:00:00 PM -07:00,1.11472,1.115,1.11426,1.11426,-34.10852713,,55.99945,29.97407,,,27.38683,-0.00045,,,-46.25308,-0.004659758
5/19/15 9:00:00 PM -07:00,1.11425,1.11478,1.1122,1.11337,32.64248705,29.15598,56.29815,31.1288,,,29.53155,-0.00089,,,-130.7845,-0.004523215
5/19/15 10:00:00 PM -07:00,1.11337,1.11447,1.11254,1.114,31.96721311,30.21411,56.57552,37.73041,,,31.69572,0.00063,,,-118.7481,-0.004314433
5/19/15 11:00:00 PM -07:00,1.11401,1.11522,1.114,1.1144,-61.17647059,29.53304,56.18604,47.57737,,,35.23626,0.0004,,,10.13235,-0.004069776
5/19/15 11:59:00 PM -07:00,1.1144,1.11462,1.11377,1.11388,85.71428571,29.41238,55.88838,52.06488,,,39.69511,-0.00052,,,-47.18087,-0.003873194
5/20/15 12:00:00 AM -07:00,1.11387,1.114,1.11386,1.11399,-47.97687861,29.52566,55.61198,51.57615,,,44.01552,0.00011,,,-70.4323,-0.003666271
5/20/15 1:00:00 AM -07:00,1.11399,1.11459,1.11286,1.11316,-66.39004149,28.86848,55.64539,39.37756,,,45.66528,-0.00083,,,-114.1749,-0.003528576
5/20/15 2:00:00 AM -07:00,1.11316,1.11464,1.10982,1.10996,-30.3538175,27.29322,56.35703,25.20497,,,43.16019,-0.0032,,,-264.0315,-0.003635758
5/20/15 3:00:00 AM -07:00,1.10995,1.11159,1.10622,1.10832,44.61942257,27.45177,57.55022,16.94458,,,37.03363,-0.00164,,,-296.516,-0.003809123
5/20/15 4:00:00 AM -07:00,1.10832,1.11057,1.10676,1.11002,28.62318841,30.13117,58.65819,22.25467,,,31.07159,0.0017,,,-183.9809,-0.003765926
5/20/15 5:00:00 AM -07:00,1.11003,1.11272,1.10996,1.11082,30.5785124,31.05593,58.07358,38.53097,,,28.46255,0.0008,,,-74.76637,-0.003625346
5/20/15 6:00:00 AM -07:00,1.11082,1.1128,1.11038,1.11156,-64.77272727,30.07567,57.47481,50.65858,,,30.71876,0.00074,,,-47.70718,-0.003414865
5/20/15 7:00:00 AM -07:00,1.11154,1.11247,1.10895,1.10926,81.93832599,27.87661,57.24596,48.07432,,,35.29263,-0.0023,,,-83.42721,-0.00339452
5/20/15 8:00:00 AM -07:00,1.10926,1.11121,1.10894,1.11112,88.88888889,30.14285,57.0357,49.18518,,,41.74075,0.00186,,,-65.24738,-0.003191519
5/20/15 9:00:00 AM -07:00,1.11112,1.11454,1.11112,1.11416,-88.91402715,33.58462,54.66663,58.8147,,,49.05275,0.00304,,,46.52673,-0.002753598
5/20/15 10:00:00 AM -07:00,1.11417,1.11424,1.10982,1.11024,15.82733813,34.10841,52.88316,63.46994,,,54.04054,-0.00392,,,-20.81454,-0.00269182
5/20/15 11:00:00 AM -07:00,1.11024,1.11206,1.10928,1.11068,-82.5,32.17521,51.3934,62.97806,,,56.50444,0.00044,,,-45.79075,-0.002577644
5/20/15 12:00:00 PM -07:00,1.11068,1.11082,1.10762,1.10804,74.89177489,31.46118,50.48979,40.77567,,,55.04471,-0.00264,,,-115.2438,-0.002669413
5/20/15 1:00:00 PM -07:00,1.10805,1.10998,1.10767,1.10978,20.3125,33.19583,49.65072,38.95449,,,52.99857,0.00174,,,-88.20895,-0.00257209
5/20/15 2:00:00 PM -07:00,1.10979,1.11078,1.10886,1.11018,18.35616438,35.1271,48.35292,37.16367,,,48.66837,0.0004,,,-41.20907,-0.002434613
5/20/15 3:00:00 PM -07:00,1.11018,1.1143,1.107,1.11152,-18.00486618,36.97595,45.28159,50.35313,,,46.045,0.00134,,,29.36148,-0.002192262
